hnear_primschool,hnear_secschool,hnear_road,hnear_mkt,hwhoperm,hallocateoften,hnewclear_a,hcleardriver1,hcleardriver2,hrank_health,hrank_farmland,hrank_edu,hrank_job,watsource,watsource_prim,watsource_hhnum,watsource_safe,watsource_whysafe,watsource_whynosafe,borehole_func,borehole_nonfunc,borehole_mgmt,borehole_chall_yn,borehole_chall,borehole_seaschng,borehole_yrchng,health_dist,health_trans,health_qual,health_out,health_outfreq,health_outtype,health_chw,health_chwtype,health_chwfreq,health_chwsvc,fhhinc_timber,fhhinc_nontimber,fincomeprod_1,fincomeprod_2,forest_noaccess,noaccwhy,noaccimpact,forstrict_who,forguard,ccrb_yn,ccrb_name,vag_yn,vag_name,vag_meet,vag_whoattnd,vag_women,vag_womrestrict,vag_youth,govern_foruse,gov_change,gov_changewho,fparticipateyn,ftalk_who,comsvc,comsvc_watsan_yr,comsvc_watsan_imp,comsvc_edu_yr,comsvc_edu_imp,comsvc_health_yr,comsvc_health_imp,comsvc_mgmt,hunt_unauth,wood_unauth,fpolicy_action,fpolicy_effective,fclear_yn,fclear_punishyn,fclear_punish,fclear_rulebreak,fclear_rulefollow,fclear_who,fclear_whomost,fhuntfire_yn,fhuntfire_punishyn,fhuntfire_punish,fhuntfire_rulebreak,fhuntfire_rulefollow,fhuntfire_who,fhuntfire_whomost,ftimber_yn,ftimber_punishyn,ftimber_punish,ftimber_rulebreak,ftimber_rulefollow,ftimber_who,ftimber_whomost,ffire_yn,ffire_punishyn,ffire_punish,ffire_rulebreak,ffire_rulefollow,ffire_who,ffire_whomost,hproblem_job,hfsupport,hfsupport_who,hfsupport_type,hfrstserv_ben_1,hfrstserv_ben_2,hfrstserv_ben_3,hfrstserv_ben_4,hfrstserv_ben_5,hfrstserv_ben_6,htourism_pay,htourism_whoreceive,htourism_amt,hmine_co,hmine_pay,hmine_whoreceive,hmine_amt,watt_tour,watt_lodge,crbatt_employ,conserve_neg,hunt_prestige,parkatt_waste,parkatt_help,parkatt_employ,parkatt_meat,parkatt_adverse,parkatt_outside,parkatt_harrass,hvage,hvsize,hvsize_pop,hvsize_chng,hvsize_where,hvsize_tribe,hnear_primschool,hnear_secschool,hnear_road,hnear_mkt,hmigrate_farm,health_dist,fhhconsume,vag_yn,vag_youth,comsvc_watsan_yr,comsvc_edu_yr,comsvc_health_yr,
3,6,7,3,1,5,1,2,1,5,5,4,1,2 4,4,30,1,3,,1,0,97,1,2,2,3,3,2,1,1,3,1 3 4,1,1,5,1 2 3,4,5,3,20,0,,,,0,1,,0,,,,,0,,1,0,,1,3 4 8,0,,,,,,,5,5,5,5,2,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,1,0,,,0,0,0,0,0,0,,,,,,,,2,2,2,4,4,5,2,2,2,4,1,4,2,55,8,2,1 2 4,2 5,3,6,7,3,4,3,1,0,,,,,
3,3,7,4,1,5,0,,,5,1,5,5,4,,29,3,,1,,0,,,,,,3,1,2,0,,,1,2,4,3,5,5,6,7,1,3,6,8,0,1,2,0,,,,,1,,2,0,,0,,0,,,,,,,0,5,5,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,8,0,,,0,0,,,0,,,,,,,,,4,4,4,4,2,4,4,2,2,2,1,4,2,19,5,3,,,3,3,7,4,5,3,5,0,,,,,
2,5,10,3,1,5,3,1,0,5,4,5,5,2,,16,1,3,,1,0,1,1,2 4,0,3,5,1,2,0,,,0,,,,5,4,7,6,0,,,,0,1,2,1,13,5,2 5,1,0,1,8,0,,0,,0,,,,,,,0,5,5,0,,1,1,15,0,1,3,,1,1,15,0,1,1 3,3,1,1,15,0,1,3,,0,,,,,,,9,0,,,0,0,0,0,0,0,,,,,,,,4,4,4,3,2,2,2,2,3,3,1,3,2,16,2,3,,,2,5,10,3,5,5,5,1,1,,,,
2,7,10,2,1,5,3,1,0,5,3,5,5,4,,69,3,,97,,0,,,,,,5,1,1,1,4,1 3,0,,,,5,5,7,6,0,,,,0,1,2,1,13,5,5,1,0,1,1,0,,0,,0,,,,,,,0,5,5,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,2,2,3,4,1,5,2,3,5,4,2,4,2,69,7,2,2,1 2 5,2,7,10,2,4,5,5,1,1,,,,
3,6,5,9,1,4,20,2,1,4,3,5,1,2 7 8,2,100,1,3,,1,0,4,1,2 3,2,2,5,2,1,1,4,1 2 3 97,1,1,4,1 4,5,4,21,22,0,,,,1,0,,0,,,,,,,0,0,,1,3 97,,,,,,,,,4,2,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,1,0,,,0,0,0,0,0,0,,,,,,,,5,4,,3,5,4,4,4,5,5,5,5,1,21,6,1,2,2 5,3,6,5,9,3,5,1,0,,,,,
1,1,9,2,1,4,0,,,5,5,5,5,2,,100,1,3,,1,0,97,0,,0,3,1,1,2,0,,,0,,,,5,5,21,4,0,,,,0,0,,0,,,,,,,7,0,,1,3 4 5,,,,,,,,,5,5,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,4,4,,4,4,4,4,4,4,4,4,4,2,29,9,3,,,1,1,9,2,5,1,1,0,,,,,
1,1,10,1,1,5,2,1,2,1,2,1,5,2 4,2,80,1,3,,1,0,1,1,1 2,0,3,1,1,2,0,,,1,1,1,1 2 4 6,4,4,21,7,0,,,,1,0,,0,,,,,,,1,0,,0,,,,,,,,,,5,5,0,,1,1,13,0,1,1,,1,1,13,0,1,1,,0,,,,,,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,1,4,,2,1,2,2,4,4,4,1,2,1,69,4,2,2,97,1,1,10,1,3,1,3,0,,,,,
5,7,10,4,1,5,0,,,5,2,5,5,4,,22,3,,2,,1,0,1,1 2,,,4,1,1,0,,,1,1,4,2 3 8,5,5,6,7,0,,,,0,1,2,0,,,,,0,,1,0,,0,,0,,,,,,,0,5,5,0,,1,1,7,0,1,97,,1,1,15,0,1,2,,1,1,12,0,1,2,,0,,,,,,,9,0,,,0,0,0,0,0,0,,,,,,,,4,4,3,4,1,1,2,4,4,4,1,3,1,22,3,4,,,5,7,10,4,5,4,5,0,,,,,
1,5,7,4,0,5,10,1,2,5,5,5,5,2 4,4,40,3,,1 3,1,0,4,1,2 5,0,1,5,2,2,0,,,1,1,4,3 9 10,4,4,20,11,0,,,,0,0,,0,,,,,,,8,0,,0,,,,,,,,,,5,5,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,8,0,,,0,0,0,0,0,0,,,,,,,,4,4,,4,4,5,4,4,4,5,2,2,1,61,7,2,1 2 4,1 2 5,1,5,7,4,4,5,1,0,,,,,
3,3,10,3,1,4,3,1,2,5,4,5,5,4,,14,3,,1,,0,,,,,,3,1,2,0,,,0,,,,5,4,7,22,0,,,,0,0,,0,,,,,,,1,0,,0,,,,,,,,,,5,5,0,,1,1,15,0,1,2,,0,,,,,,,0,,,,,,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,5,5,,3,1,4,2,4,4,4,3,4,2,14,2,3,,,3,3,10,3,4,3,4,0,,,,,
3,3,8,3,0,5,8,1,2,5,5,5,5,2 4,4,15,3,,3,1,0,4,1,2,0,3,3,1,1,0,,,1,1,3,1 2 4,,5,4,20,0,,,,0,0,,0,,,,,,,6,0,,1,3 4,,,,,,,,,5,5,1,3,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,4,4,,4,4,4,1,4,4,4,2,2,1,28,7,3,,,3,3,8,3,4,3,1,0,,,,,
3,6,6,6,2,5,30,1,3,5,3,5,3,2,,50,1,3,,2,1,4,1,2 3 4,2,4,6,1,2,0,,,1,1,5,3 4,5,4,22,20,0,,,,0,0,,0,,,,,,,7,0,,0,,,,,,,,,,5,5,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,5,0,,,0,0,0,0,0,0,,,,,,,,4,5,,4,4,4,2,4,4,5,2,4,2,26,8,2,4,2 5,3,6,6,6,4,6,1,0,,,,,
3,7,10,3,1,4,5,1,2,5,5,5,5,4,,26,3,,1,,0,,,,,,5,1,2,0,,,0,,,,5,4,6,7,0,,,,0,1,2,1,13,5,1,1,97,1,8,0,,1,8,0,,,,,,,0,5,5,0,,1,1,15,0,1,1 3,3,1,1,9,0,1,3,,1,1,15,0,1,3,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,3,3,2,3,2,4,4,2,5,4,1,3,2,26,3,2,13,5,3,7,10,3,5,5,4,1,1,,,,
5,5,10,5,1,4,3,1,0,5,4,5,5,4,,27,3,,1,,0,,,,,,5,1,2,0,,,0,,,,5,3,20,22,0,,,,0,0,,0,,,,,,,1,0,,0,,,,,,,,,,5,5,0,,1,0,,0,1,1,,0,,,,,,,0,,,,,,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,4,3,,2,2,3,3,3,4,2,1,4,2,27,3,2,1,2,5,5,10,5,4,5,3,0,,,,,
4,7,5,9,2,4,6,2,0,5,5,5,5,2 8,8,80,1,2 3,,,1,4,1,1 2 3 97,1,5,7,2,1,0,,,0,,,,4,4,20,3,0,,,,1,0,,0,,,,,,,7,0,,1,3 4 5,,,,,,,,,5,5,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,5,5,,5,5,4,2,4,4,5,5,5,2,80,9,2,4 6,2 8,4,7,5,9,5,7,1,0,,,,,
4,6,9,5,2,4,5,1,2,5,5,5,5,4,,13,3,,1,,0,,,,,,5,2,2,0,,,0,,,,4,4,7,6,0,,,,0,0,,0,,,,,,,8,0,,0,,,,,,,,,,4,5,0,,1,1,15,0,1,1,,0,,,,,,,0,,,,,,,0,,,,,,,9,0,,,0,0,0,0,0,0,,,,,,,,3,3,,3,1,4,2,3,3,3,2,2,2,13,2,3,,,4,6,9,5,4,5,4,0,,,,,
3,5,9,5,0,5,1,1,2,5,5,5,5,2,,50,1,1 3,,1,0,4,1,97,1,3,5,3,2,0,,,0,,,,5,4,22,21,0,,,,1,0,,0,,,,,,,9,0,,1,4,,,,,,,,,5,5,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,8,0,,,0,0,0,0,0,0,,,,,,,,4,4,,4,4,5,4,5,4,4,3,4,1,12,5,2,97,2,3,5,9,5,4,5,1,0,,,,,
2,6,10,5,1,4,0,,,5,5,5,5,4,,28,3,,97,,0,,,,,,5,1,1,0,,,1,1,5,1 3,5,4,2,6,0,,,,0,0,,0,,,,,,,8,0,,0,,,,,,,,,,5,5,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,8,0,,,0,0,0,0,0,0,,,,,,,,1,3,,5,1,4,2,2,5,4,1,5,1,28,3,2,2,5,2,6,10,5,5,5,4,0,,,,,
3,6,8,4,0,5,0,,,5,5,5,5,4,,30,3,,3,,0,,,,,,5,2,2,0,,,0,,,,5,4,20,11,0,,,,0,0,,0,,,,,,,8,0,,0,,,,,,,,,,5,5,0,,1,,,0,1,4,,0,,,,,,,0,,,,,,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,4,4,,4,3,4,1,4,4,4,2,4,1,16,2,2,5,5,3,6,8,4,5,5,1,0,,,,,
3,4,9,2,0,5,10,1,2,5,5,5,3,2 4,2,150,1,97,,2,1,4,1,2 3,2,3,3,1,2,0,,,1,1,5,2 5,3,3,20,21,0,,,,0,0,,0,,,,,,,6,0,,0,,,,,,,,,,5,5,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,1,0,,,0,0,0,0,0,0,,,,,,,,4,5,,4,4,4,3,5,4,4,1,4,2,54,9,1,1 2 4 97,2 5,3,4,9,2,4,3,1,0,,,,,
2,5,10,5,1,5,0,,,5,5,5,5,2,,68,1,1,,1,0,0,0,,0,3,5,2,2,0,,,1,1,1,4,5,4,7,21,0,,,,0,0,,0,,,,,,,8,0,,0,,,,,,,,,,5,5,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,9,0,,,0,0,0,0,0,0,,,,,,,,4,4,,4,1,1,1,5,4,4,1,4,2,28,3,3,,,2,5,10,5,5,5,5,0,,,,,
3,5,8,3,2,3,5,1,0,5,5,5,5,2,,47,1,1,,1,0,3,1,2,0,3,3,1,1,0,,,0,,,,5,5,11,0,0,,,,0,1,2,0,,,,,3 97,,8,0,,0,,0,,,,,,,0,4,4,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,1,2,4,3,2,4,2,5,4,4,2,4,2,26,3,2,2 4,2 5,3,5,8,3,4,3,4,0,,,,,
3,3,10,3,1,5,8,1,2,5,5,5,5,4,,102,3,,1,,0,,,,,,2,1,1,0,,,1,2,1,4,5,3,7,21,0,,,,1,0,,0,,,,,,,8,0,,0,,,,,,,,,,5,5,0,,1,1,15,0,2,1 2 3,3,1,1,15,1,2,1,,0,,,,,,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,4,4,,4,1,5,2,4,4,4,1,3,2,102,4,3,,,3,3,10,3,4,2,3,0,,,,,
3,5,7,1,1,5,2,1,0,5,5,5,5,8,,33,1,3,,,1,3,1,1 2 3,,,2,1,1,0,,,0,,,,5,5,6,0,0,,,,0,1,2,0,,,,,0,,2,0,,0,,0,,,,,,,0,5,5,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,5,2,4,4,2,4,2,5,4,4,2,3,2,33,5,4,,,3,5,7,1,5,2,5,0,,,,,
5,5,8,5,2,4,2,1,2,5,5,5,5,8,,35,3,,1 2,,0,,,,,,5,2,2,0,,,0,,,,5,4,20,9,0,,,,0,0,,0,,,,,,,1,0,,0,,,,,,,,,,5,5,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,4,4,,3,1,1,3,3,3,3,3,1,2,18,2,3,,,5,5,8,5,3,5,3,0,,,,,
3,5,10,5,1,5,2,1,2,5,5,5,5,2,,60,1,1,,3,0,0,0,,0,3,5,2,1,0,,,1,1,1,1 2 3 4 6 7,5,3,7,21,0,,,,0,0,,0,,,,,,,1,0,,0,,,,,,,,,,5,5,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,9,0,,,0,0,0,0,0,0,,,,,,,,3,3,,3,3,3,3,3,3,4,2,4,2,60,5,2,2 3 13,5,3,5,10,5,3,5,4,0,,,,,
4,5,9,5,0,5,20,97,2,5,3,5,3,2,,80,1,3,,1,1,4,1,3 4 5 97,0,3,5,3,2,0,,,0,,,,4,5,6,5,0,,,,1,0,,0,,,,,,,6,0,,0,,,,,,,,,,5,5,0,,1,1,15,0,1,2 3,3,0,,,,,,,0,,,,,,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,5,5,,5,5,5,4,4,4,4,2,2,2,31,7,2,1 2 4,1 2 5,4,5,9,5,4,5,1,0,,,,,
4,4,10,4,1,5,0,,,5,5,5,5,4,,21,3,,1,,0,,,,,,4,1,2,0,,,0,,,,5,5,7,22,0,,,,0,0,,0,,,,,,,1,0,,0,,,,,,,,,,5,5,0,,1,1,15,0,1,1,,0,,,,,,,0,,,,,,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,4,4,,3,2,5,2,3,3,4,1,3,2,21,3,3,,,4,4,10,4,3,4,4,0,,,,,
2,4,7,4,1,4,0,,,5,5,5,1,2,,200,1,1 3,,1,0,4,1,2 3 4,1,4,4,2,1,0,,,0,,,,4,4,20,21,1,2,6 9 10,10,0,0,,0,,,,,,,6,0,,1,3 4,,,,,,,,,5,5,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,4,4,,4,4,5,4,5,5,5,2,4,1,16,9,2,13 97,2 5,2,4,7,4,4,4,1,0,,,,,
1,5,10,5,1,5,5,1,2,5,5,5,5,2,,89,1,1,,1,0,1,1,2,0,,5,1,1,0,,,0,,,,5,4,7,1,0,,,,0,0,,0,,,,,,,8,0,,0,,,,,,,,,,5,5,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,5,4,,3,3,1,3,2,4,4,3,3,2,41,5,2,2 13,5,1,5,10,5,4,5,5,0,,,,,
3,5,8,5,1,5,2,2,0,5,5,5,5,2 4,4,20,3,,1 3,,0,,,,,,5,2,1,0,,,1,1,5,1,1,4,20,11,0,,,,0,1,,0,,,,,2 3,,1,1,3,0,,0,,,,,,,0,5,5,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,5,5,4,4,4,5,2,2,2,2,2,3,1,29,5,2,1,2 5,3,5,8,5,5,5,1,0,,,,,
2,2,10,2,1,4,6,1,2,5,3,3,5,2,,80,1,3,,1,0,1,1,2,2,3,2,1,1,0,,,0,,,,5,3,22,7,1,2,5,10,1,1,2,1,8,4,1,1,0,1,8,0,,0,,0,,,,,,,0,5,5,0,,1,1,15,0,1,3,,0,,,,,,,0,,,,,,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,4,4,5,4,2,5,3,4,4,4,1,4,2,42,3,3,,,2,2,10,2,5,2,3,1,1,,,,
4,7,10,4,1,5,6,1,2,5,5,5,5,4,,9,3,,3,,0,,,,,,4,1,1,1,2,1 3 4 6,1,2,4,1 3,5,5,6,7,0,,,,0,,,0,,,,,,,1,0,,0,,,,,,,,,,5,5,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,5,4,,5,1,3,3,5,4,5,2,3,1,9,2,3,,,4,7,10,4,5,4,5,0,,,,,
3,7,10,7,2,5,2,1,2,5,5,5,4,8,,23,3,,1,,0,,,,,,7,2,1,1,2,1 2 3 4 6 10,0,,,,4,4,20,2,0,,,,0,1,2,1,6,5,6,1,97,1,7,0,,0,,0,,,,,,,0,5,5,0,,1,1,12,0,1,1,,1,1,12,1,1,3,,1,1,12,0,1,3,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,1,2,2,3,1,5,2,2,4,4,2,5,2,23,3,3,,,3,7,10,7,4,7,1,1,1,,,,
3,4,8,4,2,4,0,,,5,5,5,5,2 4,2,65,1,3,,1,0,4,1,2,1,4,4,2,1,0,,,0,,,,4,4,5,20,0,,,,1,0,,0,,,,,,,8,0,,1,3 4,,,,,,,,,5,5,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,5,5,,5,5,4,1,4,4,2,1,2,2,14,9,1,1 2 13,2 5 97,3,4,8,4,3,4,1,0,,,,,
3,9,10,8,2,5,0,,,5,5,5,5,4,,21,3,,97,,0,,,,,,8,97,2,0,,,0,,,,5,2,20,0,0,,,,0,1,2,1,6,5,5,1,3 97,1,8,0,,0,,0,,,,,,,0,5,5,0,,1,1,15,0,1,2,,1,1,15,0,1,2,,0,,,,,,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,4,4,3,4,1,2,2,2,3,4,1,1,2,21,2,3,,,3,9,10,8,3,8,2,1,1,,,,
2,6,10,3,1,4,9,1,2,5,3,5,5,2,,16,1,1,,1,0,0,1,2,0,3,5,1,2,0,,,0,,,,5,5,6,7,0,,,,0,0,,0,,,,,,,1,0,,0,,,,,,,,,,5,5,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,8,0,,,0,0,0,0,0,0,,,,,,,,5,5,,4,2,3,3,4,4,4,2,4,2,16,3,3,,,2,6,10,3,5,5,5,0,,,,,
3,6,5,2,1,5,10,2,1,5,5,5,5,2,,21,3,,3,3,4,2 4,1,2 4,0,3,1,1,3,0,,,1,1,2,1,5,5,0,,1,6,0,9,0,0,,0,,,,,,,1,0,,1,3 4 5,,,,,,,,,5,5,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,4,4,,4,4,4,2,4,4,4,1,4,1,21,7,2,1,2,3,6,5,2,4,1,1,0,,,,,
