hnear_primschool,hnear_secschool,hnear_road,hnear_mkt,hwhoperm,hallocateoften,hnewclear_a,hcleardriver1,hcleardriver2,hrank_health,hrank_farmland,hrank_edu,hrank_job,watsource,watsource_prim,watsource_hhnum,watsource_safe,watsource_whysafe,watsource_whynosafe,borehole_func,borehole_nonfunc,borehole_mgmt,borehole_chall_yn,borehole_chall,borehole_seaschng,borehole_yrchng,health_dist,health_trans,health_qual,health_out,health_outfreq,health_outtype,health_chw,health_chwtype,health_chwfreq,health_chwsvc,fhhinc_timber,fhhinc_nontimber,fincomeprod_1,fincomeprod_2,forest_noaccess,noaccwhy,noaccimpact,forstrict_who,forguard,ccrb_yn,ccrb_name,vag_yn,vag_name,vag_meet,vag_whoattnd,vag_women,vag_womrestrict,vag_youth,govern_foruse,gov_change,gov_changewho,fparticipateyn,ftalk_who,comsvc,comsvc_watsan_yr,comsvc_watsan_imp,comsvc_edu_yr,comsvc_edu_imp,comsvc_health_yr,comsvc_health_imp,comsvc_mgmt,hunt_unauth,wood_unauth,fpolicy_action,fpolicy_effective,fclear_yn,fclear_punishyn,fclear_punish,fclear_rulebreak,fclear_rulefollow,fclear_who,fclear_whomost,fhuntfire_yn,fhuntfire_punishyn,fhuntfire_punish,fhuntfire_rulebreak,fhuntfire_rulefollow,fhuntfire_who,fhuntfire_whomost,ftimber_yn,ftimber_punishyn,ftimber_punish,ftimber_rulebreak,ftimber_rulefollow,ftimber_who,ftimber_whomost,ffire_yn,ffire_punishyn,ffire_punish,ffire_rulebreak,ffire_rulefollow,ffire_who,ffire_whomost,hproblem_job,hfsupport,hfsupport_who,hfsupport_type,hfrstserv_ben_1,hfrstserv_ben_2,hfrstserv_ben_3,hfrstserv_ben_4,hfrstserv_ben_5,hfrstserv_ben_6,htourism_pay,htourism_whoreceive,htourism_amt,hmine_co,hmine_pay,hmine_whoreceive,hmine_amt,watt_tour,watt_lodge,crbatt_employ,conserve_neg,hunt_prestige,parkatt_waste,parkatt_help,parkatt_employ,parkatt_meat,parkatt_adverse,parkatt_outside,parkatt_harrass
3,5.0,8.0,5.0,1,5,2.0,2.0,0.0,5,5,5,5,2 4,4.0,20,3.0,,1 3,,0,,,,,,5,2,1,0,,,1.0,1,5.0,1,1.0,4,20,11.0,0.0,,,,0.0,1.0,,0.0,,,,,2 3,,1.0,1.0,3.0,0,,0,,,,,,,0,5.0,5.0,0,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,10,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,5.0,5.0,4.0,4.0,4.0,5.0,2.0,2.0,2.0,2.0,2.0,3.0
2,2.0,10.0,2.0,1,4,6.0,1.0,2.0,5,3,3,5,2,,80,1.0,3,,1.0,0,1,1.0,2,2.0,3.0,2,1,1,0,,,0.0,,,,5.0,3,22,7.0,1.0,2,5,10,1.0,1.0,2.0,1.0,8.0,4.0,1,1.0,0,1.0,8.0,0.0,,0,,0,,,,,,,0,5.0,5.0,0,,1.0,1.0,15,0.0,1.0,3,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,10,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,4.0,4.0,5.0,4.0,2.0,5.0,3.0,4.0,4.0,4.0,1.0,4.0
4,7.0,10.0,4.0,1,5,6.0,1.0,2.0,5,5,5,5,4,,9,3.0,,3,,0,,,,,,4,1,1,1,2.0,1 3 4 6,1.0,2,4.0,1 3,5.0,5,6,7.0,0.0,,,,0.0,,,0.0,,,,,,,1.0,0.0,,0,,,,,,,,,,5.0,5.0,0,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,10,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,5.0,4.0,,5.0,1.0,3.0,3.0,5.0,4.0,5.0,2.0,3.0
3,7.0,10.0,7.0,2,5,2.0,1.0,2.0,5,5,5,4,8,,23,3.0,,1,,0,,,,,,7,2,1,1,2.0,1 2 3 4 6 10,0.0,,,,4.0,4,20,2.0,0.0,,,,0.0,1.0,2.0,1.0,6.0,5.0,6,1.0,97,1.0,7.0,0.0,,0,,0,,,,,,,0,5.0,5.0,0,,1.0,1.0,12,0.0,1.0,1,,1.0,1.0,12,1.0,1.0,3,,1.0,1.0,12,0.0,1.0,3,,0.0,,,,,,,10,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1.0,2.0,2.0,3.0,1.0,5.0,2.0,2.0,4.0,4.0,2.0,5.0
3,4.0,8.0,4.0,2,4,0.0,,,5,5,5,5,2 4,2.0,65,1.0,3,,1.0,0,4,1.0,2,1.0,4.0,4,2,1,0,,,0.0,,,,4.0,4,5,20.0,0.0,,,,1.0,0.0,,0.0,,,,,,,8.0,0.0,,1,3 4,,,,,,,,,5.0,5.0,0,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,10,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,5.0,5.0,,5.0,5.0,4.0,1.0,4.0,4.0,2.0,1.0,2.0
3,9.0,10.0,8.0,2,5,0.0,,,5,5,5,5,4,,21,3.0,,97,,0,,,,,,8,97,2,0,,,0.0,,,,5.0,2,20,0.0,0.0,,,,0.0,1.0,2.0,1.0,6.0,5.0,5,1.0,3 97,1.0,8.0,0.0,,0,,0,,,,,,,0,5.0,5.0,0,,1.0,1.0,15,0.0,1.0,2,,1.0,1.0,15,0.0,1.0,2,,0.0,,,,,,,0.0,,,,,,,10,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,4.0,4.0,3.0,4.0,1.0,2.0,2.0,2.0,3.0,4.0,1.0,1.0
2,6.0,10.0,3.0,1,4,9.0,1.0,2.0,5,3,5,5,2,,16,1.0,1,,1.0,0,0,1.0,2,0.0,3.0,5,1,2,0,,,0.0,,,,5.0,5,6,7.0,0.0,,,,0.0,0.0,,0.0,,,,,,,1.0,0.0,,0,,,,,,,,,,5.0,5.0,0,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,8,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,5.0,5.0,,4.0,2.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0
3,6.0,5.0,2.0,1,5,10.0,2.0,1.0,5,5,5,5,2,,21,3.0,,3,3.0,4,2 4,1.0,2 4,0.0,3.0,1,1,3,0,,,1.0,1,2.0,1,5.0,5,0,,1.0,6,0,9,0.0,0.0,,0.0,,,,,,,1.0,0.0,,1,3 4 5,,,,,,,,,5.0,5.0,0,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,10,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,4.0,4.0,,4.0,4.0,4.0,2.0,4.0,4.0,4.0,1.0,4.0
5,8.0,9.0,6.0,2,4,6.0,1.0,2.0,5,5,5,5,4,,13,3.0,,1,,0,,,,,,6,2,2,0,,,0.0,,,,5.0,4,7,0.0,0.0,,,,0.0,0.0,,0.0,,,,,,,7.0,0.0,,0,,,,,,,,,,5.0,5.0,0,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,8,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,4.0,4.0,,2.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0
3,6.0,6.0,2.0,1,5,3.0,4.0,2.0,5,4,5,2,2 4,4.0,23,3.0,,3,,0,,,,,,2,1,1,0,,,0.0,,,,5.0,4,7,6.0,0.0,,,,0.0,0.0,,0.0,,,,,,,3.0,0.0,,1,3 4 8,,,,,,,,,5.0,5.0,0,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,10,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,5.0,5.0,,4.0,4.0,4.0,1.0,5.0,5.0,4.0,2.0,3.0
3,6.0,8.0,3.0,1,4,5.0,1.0,0.0,5,3,3,5,2 3,2.0,30,1.0,1,,1.0,0,0,1.0,2,0.0,3.0,3,1,2,0,,,0.0,,,,5.0,5,7,6.0,0.0,,,,0.0,0.0,,0.0,,,,,,,1.0,0.0,,0,,,,,,,,,,5.0,4.0,0,,1.0,1.0,9,0.0,1.0,3,,1.0,1.0,9,0.0,1.0,3,,0.0,,,,,,,1.0,1.0,9,0.0,1.0,3,,10,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,4.0,4.0,,4.0,1.0,4.0,3.0,2.0,5.0,4.0,1.0,4.0
5,5.0,7.0,5.0,1,5,5.0,2.0,0.0,5,1,5,1,4 8,8.0,34,1.0,1 3,,,0,,,,,,5,1,1,1,4.0,1,1.0,1,3.0,2,5.0,4,20,0.0,0.0,,,,0.0,1.0,97.0,1.0,,,2,1.0,3,1.0,7.0,0.0,,1,3 4 5,0,,,,,,,1,5.0,5.0,1,3.0,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,1,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
3,3.0,5.0,2.0,1,4,5.0,1.0,0.0,4,4,5,3,2,,45,3.0,,97,2.0,1,97,1.0,3 97,0.0,3.0,2,2,1,0,,,0.0,,,,5.0,4,11,14.0,0.0,,,,0.0,0.0,,0.0,,,,,,,3.0,0.0,,1,3 4,,,,,,,,,5.0,5.0,0,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,7,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,4.0,4.0,,4.0,2.0,2.0,1.0,5.0,4.0,4.0,1.0,2.0
3,3.0,8.0,3.0,2 4,5,0.0,,,5,5,5,5,4,,34,3.0,,3,,0,,,,,,5,2,2,0,,,1.0,1,5.0,1 2,1.0,5,11,7.0,0.0,,,,0.0,0.0,,0.0,,,,,,,8.0,1.0,2.0,1,4,,,,,,,,,4.0,5.0,0,,1.0,0.0,,0.0,1.0,4,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,10,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,4.0,4.0,,4.0,2.0,2.0,4.0,5.0,4.0,4.0,1.0,4.0
2,6.0,8.0,2.0,2,3,10.0,4.0,2.0,5,5,5,5,4,,30,2.0,1,2,,0,,,,,,3,1,2,1,4.0,97,0.0,,,,5.0,5,11,20.0,0.0,,,,0.0,0.0,,0.0,,,,,,,1.0,0.0,,0,,,,,,,,,,5.0,5.0,0,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,10,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,4.0,4.0,,3.0,4.0,4.0,2.0,4.0,4.0,4.0,1.0,4.0
3,4.0,7.0,4.0,1,4,3.0,1.0,2.0,5,1,5,4,2,,24,1.0,3,,1.0,0,1,1.0,2 4,0.0,3.0,4,1,1,1,4.0,1 3,1.0,2,3.0,1 2 3 7,5.0,5,3,0.0,1.0,7,0,2,0.0,1.0,2.0,0.0,,,,,0,,2.0,0.0,,0,,0,,,,,,,0,4.0,5.0,0,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,10,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,2.0,2.0,3.0,4.0,1.0,4.0,2.0,2.0,4.0,5.0,2.0,4.0
3,3.0,6.0,3.0,1,5,0.0,,,5,3,5,5,2,,50,1.0,3,,1.0,0,4,1.0,2 4,2.0,3.0,3,1,1,0,,,1.0,1,5.0,1,4.0,5,20,7.0,0.0,,,,0.0,0.0,,0.0,,,,,,,3.0,0.0,,0,,,,,,,,,,5.0,5.0,0,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,1,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,5.0,2.0,,3.0,4.0,2.0,2.0,4.0,4.0,4.0,1.0,4.0
3,5.0,7.0,3.0,1,5,10.0,2.0,0.0,5,5,5,1,2,,50,1.0,3,,1.0,0,0,1.0,2,0.0,3.0,4,1,1,1,5.0,97,0.0,,,,5.0,5,7,20.0,0.0,,,,0.0,0.0,,0.0,,,,,,,9.0,0.0,,0,,,,,,,,,,5.0,5.0,0,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,5,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,4.0,5.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0
5,5.0,9.0,5.0,2,5,0.0,,,5,5,5,5,8,,23,3.0,,1,,0,,,,,,4,1,1,0,,,0.0,,,,3.0,3,20,0.0,0.0,,,,0.0,1.0,2.0,1.0,6.0,5.0,5,1.0,1 3,1.0,8.0,0.0,,0,,0,,,,,,,0,5.0,5.0,0,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,8,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,5.0,4.0,3.0,4.0,1.0,4.0,2.0,4.0,4.0,3.0,1.0,3.0
3,6.0,10.0,3.0,1,4,5.0,1.0,2.0,5,5,5,5,4,,36,3.0,,1,,0,,,,,,5,1,1,0,,,0.0,,,,5.0,4,0,,0.0,,,,0.0,0.0,,0.0,,,,,,,2.0,0.0,,0,,,,,,,,,,5.0,5.0,0,,0.0,,,,,,,1.0,1.0,9,0.0,1.0,2,,0.0,,,,,,,0.0,,,,,,,10,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,5.0,4.0,,4.0,1.0,4.0,2.0,4.0,4.0,3.0,2.0,4.0
1,5.0,9.0,5.0,2,3,5.0,1.0,2.0,5,5,5,5,8,,31,3.0,,1,,0,,,,,,4,1,2,0,,,0.0,,,,4.0,4,20,0.0,0.0,,,,0.0,1.0,2.0,1.0,7.0,5.0,4,1.0,0,1.0,8.0,0.0,,0,,0,,,,,,,0,5.0,5.0,0,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,10,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1.0,4.0,3.0,4.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0
3,5.0,9.0,2.0,1,5,0.0,,,5,3,4,5,2,,53,1.0,3,,4.0,0,1,1.0,2 5,0.0,3.0,2,1,1,0,,,0.0,,,,5.0,3,7,11.0,0.0,,,,1.0,1.0,2.0,1.0,9.0,4.0,4,0.0,5,1.0,8.0,0.0,,1,2 3 8,0,,,,,,,0,3.0,5.0,1,4.0,1.0,1.0,12,0.0,1.0,3,,1.0,1.0,10,0.0,2.0,3,,0.0,,,,,,,0.0,,,,,,,10,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,4.0,2.0,3.0,4.0,1.0,5.0,2.0,2.0,3.0,3.0,2.0,5.0
2,5.0,8.0,5.0,2,4,0.0,,,5,5,5,5,8,,85,3.0,,1 2,,0,,,,,,5,1,1,0,,,0.0,,,,5.0,3,20,9.0,0.0,,,,0.0,1.0,2.0,1.0,7.0,5.0,4 5,1.0,3 97,1.0,8.0,0.0,,0,,0,,,,,,,0,5.0,5.0,0,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,10,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,4.0,5.0,3.0,4.0,1.0,3.0,3.0,3.0,4.0,2.0,1.0,2.0
3,3.0,8.0,2.0,1,5,0.0,,,5,3,5,5,2,,44,2.0,2,97,1.0,0,1,1.0,3,1.0,4.0,2,1,1,0,,,1.0,2,4.0,3,5.0,5,11,6.0,0.0,,,,0.0,0.0,,0.0,,,,,,,1.0,0.0,,0,,,,,,,,,,4.0,5.0,0,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,10,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,2.0,2.0,,4.0,2.0,2.0,3.0,3.0,4.0,4.0,2.0,3.0
3,7.0,10.0,5.0,2,4,0.0,,,5,5,5,5,8,,25,3.0,,1,,0,,,,,,5,2,1,0,,,1.0,97,1.0,1 3 4,5.0,4,20,0.0,0.0,,,,0.0,1.0,2.0,1.0,7.0,5.0,4,1.0,3,1.0,8.0,0.0,,0,,0,,,,,,,0,5.0,5.0,0,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,10,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,5.0,4.0,3.0,2.0,2.0,3.0,4.0,5.0,3.0,3.0,1.0,2.0
4,8.0,9.0,2.0,1,5,0.0,,,5,5,5,5,4,,33,3.0,,2,,0,,,,,,2,1,2,0,,,1.0,2,4.0,1 3,5.0,4,7,11.0,0.0,,,,0.0,0.0,,0.0,,,,,,,1.0,,,0,,,,,,,,,,5.0,5.0,0,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,10,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,4.0,5.0,,3.0,2.0,4.0,2.0,5.0,5.0,4.0,1.0,5.0
5,8.0,10.0,5.0,1,5,6.0,1.0,0.0,5,5,5,5,4,,35,3.0,,97,,0,,,,,,6,1,2,0,,,1.0,97,3.0,1 4,5.0,3,7,6.0,0.0,,,,0.0,1.0,2.0,0.0,,,,,1,,2.0,0.0,,0,,0,,,,,,,0,5.0,5.0,0,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,10,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1.0,1.0,5.0,4.0,1.0,4.0,2.0,4.0,3.0,4.0,1.0,4.0
2,3.0,8.0,2.0,1,5,0.0,,,5,5,5,5,4,,25,3.0,,1 2 3,,0,,,,,,5,1,4,0,,,0.0,,,,5.0,5,22,6.0,0.0,,,,0.0,0.0,,0.0,,,,,,,1.0,0.0,,0,,,,,,,,,,5.0,5.0,0,,0.0,,,,,,,0.0,,,,,,,1.0,0.0,,0.0,1.0,97,,0.0,,,,,,,10,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,5.0,4.0,,4.0,4.0,4.0,2.0,4.0,4.0,4.0,1.0,4.0
3,4.0,8.0,3.0,0,5,0.0,,,5,5,5,5,2,,150,1.0,3,,1.0,0,4,1.0,2 3 4,1.0,5.0,4,1,2,0,,,1.0,1,5.0,1,1.0,4,20,22.0,0.0,,,,0.0,0.0,,1.0,,4.0,6,0.0,3 5,1.0,8.0,0.0,,1,8,,,,,,,,,5.0,5.0,0,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,10,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0
3,6.0,7.0,2.0,0,5,0.0,,,5,5,5,5,4,,12,3.0,,3,,0,,,,,,5,2,2,0,,,1.0,1,4.0,1,5.0,4,11,7.0,0.0,,,,0.0,0.0,,0.0,,,,,,,8.0,1.0,1.0,0,,,,,,,,,,5.0,5.0,0,,1.0,,,0.0,1.0,4,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,10,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,5.0,5.0,,4.0,3.0,4.0,2.0,4.0,4.0,4.0,1.0,4.0
2,6.0,8.0,1.0,1,5,10.0,97.0,0.0,5,5,5,4,4,,50,1.0,3,,,0,,,,,,3,1,3,0,,,1.0,1,5.0,1 2 4 10 11,5.0,4,20,22.0,0.0,,,,0.0,1.0,,0.0,,,,,5,,1.0,0.0,,1,4,0,,,,,,,0,5.0,3.0,0,,1.0,1.0,15,0.0,1.0,2,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,10,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,5.0,5.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,1.0,1.0
1,2.0,7.0,3.0,1,5,5.0,2.0,1.0,5,5,5,5,4,4.0,25,1.0,3,,,0,,,,,,5,2,2,0,,,0.0,,,,5.0,5,11,5.0,0.0,,,,0.0,0.0,,0.0,,,,,,,1.0,0.0,,0,,,,,,,,,,5.0,5.0,0,,1.0,0.0,,0.0,2.0,2,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,10,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,4.0,5.0,,4.0,4.0,4.0,1.0,5.0,5.0,4.0,2.0,5.0
4,7.0,8.0,4.0,0,5,0.0,,,5,5,5,5,4,,32,3.0,,1 3,,0,,,,,,5,1,1,1,3.0,3 9,0.0,,,,5.0,4,22,20.0,0.0,,,,0.0,0.0,,0.0,,,,,,,8.0,0.0,,0,,,,,,,,,,5.0,5.0,0,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,6,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,4.0,5.0,,4.0,4.0,5.0,2.0,4.0,5.0,2.0,1.0,4.0
4,7.0,7.0,3.0,0,5,0.0,,,5,1,3,5,2 4,4.0,30,3.0,,3,,0,,,,,,5,3,2,0,,,0.0,,,,4.0,4,20,7.0,0.0,,,,1.0,0.0,,0.0,,,,,,,8.0,0.0,,1,3,,,,,,,,,3.0,5.0,1,4.0,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,1,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,5.0,5.0,,2.0,4.0,4.0,1.0,2.0,2.0,4.0,2.0,2.0
3,5.0,8.0,3.0,0,5,0.0,,,5,3,4,5,4,,85,3.0,,3 97,,0,,,,,,5,1,1,0,,,1.0,1,3.0,4 97,4.0,4,7,4.0,0.0,,,,0.0,0.0,,0.0,,,,,,,7.0,0.0,,0,,,,,,,,,,5.0,5.0,0,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,5,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0
3,7.0,10.0,8.0,1,5,5.0,1.0,2.0,5,5,5,5,4,,38,3.0,,97,,0,,,,,,7,2,1,0,,,0.0,,,,5.0,5,21,7.0,0.0,,,,0.0,0.0,,0.0,,,,,,,8.0,0.0,,0,,,,,,,,,,5.0,5.0,0,,0.0,,,,,,,1.0,1.0,9,0.0,1.0,2,,0.0,,,,,,,0.0,,,,,,,9,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,4.0,4.0,,4.0,2.0,4.0,2.0,5.0,5.0,3.0,1.0,4.0
3,7.0,6.0,10.0,0,4,100.0,1.0,3.0,5,5,5,5,4,,200,3.0,,1 2 3,,0,,,,,,7,3,1,0,,,1.0,1,4.0,1 2,5.0,5,0,,0.0,,,,1.0,0.0,,0.0,,,,,,,97.0,0.0,,1,3 4,,,,,,,,,5.0,3.0,0,,1.0,1.0,2 3,0.0,1.0,4 5,4.0,0.0,,,,,,,0.0,,,,,,,1.0,1.0,15,0.0,1.0,1,,7,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,4.0,4.0,,5.0,5.0,5.0,4.0,4.0,5.0,5.0,2.0,5.0
3,7.0,10.0,7.0,1,4,5.0,1.0,2.0,5,5,5,5,4,,25,3.0,,97,,0,,,,,,7,3,1,1,2.0,1,0.0,,,,4.0,4,21,6.0,0.0,,,,1.0,0.0,,0.0,,,,,,,8.0,0.0,,0,,,,,,,,,,5.0,5.0,0,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,10,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,4.0,4.0,,4.0,1.0,5.0,4.0,4.0,5.0,4.0,1.0,4.0
7,9.0,10.0,5.0,1,4,0.0,,,5,5,5,5,4,,40,3.0,,2,,0,,,,,,7,1,4,0,,,0.0,,,,3.0,4,11,6.0,0.0,,,,1.0,0.0,,0.0,,,,,,,8.0,0.0,,0,,,,,,,,,,4.0,5.0,0,,0.0,,,,,,,1.0,0.0,,0.0,1.0,3,,0.0,,,,,,,0.0,,,,,,,9,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,4.0,4.0,,3.0,2.0,4.0,2.0,4.0,5.0,4.0,1.0,3.0
6,8.0,8.0,7.0,1,3,8.0,1.0,2.0,5,5,5,5,4,,48,3.0,,97,,0,,,,,,7,2,2,0,,,0.0,,,,5.0,4,7,22.0,0.0,,,,1.0,0.0,,0.0,,,,,,,8.0,0.0,,0,,,,,,,,,,5.0,5.0,0,,1.0,1.0,15,0.0,1.0,1,,1.0,1.0,15,0.0,1.0,2,,1.0,1.0,1 2 15,0.0,1.0,1,,0.0,,,,,,,10,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,2.0,2.0,,2.0,1.0,3.0,4.0,3.0,4.0,4.0,1.0,5.0
5,7.0,8.0,5.0,97,4,10.0,2.0,0.0,5,5,5,2,8,,63,3.0,,1 3,,0,,,,,,5,1,1,1,4.0,1 2 3,0.0,,,,4.0,4,21,7.0,1.0,2,1 4,10,0.0,0.0,,0.0,,,,,,,8.0,0.0,,1,1 2 3 4,,,,,,,,,5.0,5.0,0,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,8,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
2,6.0,3.0,2.0,2 3,4,0.0,,,3,2,5,5,2 4,2.0,25,1.0,3,,1.0,0,1,1.0,2 3,2.0,4.0,2,1,2,1,3.0,3,1.0,1,3.0,3,5.0,4,4,7.0,1.0,6,4 10,5 7 8,1.0,1.0,4.0,0.0,,,,,3,,5.0,1.0,2.0,1,2 3 4 8,0,,,,,,,4,5.0,5.0,4,2.0,1.0,1.0,10,0.0,1.0,1,,0.0,,,,,,,1.0,1.0,10,0.0,1.0,1,,1.0,1.0,10,0.0,2.0,1,,10,1,12,2,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,2.0,2.0,3.0,3.0,2.0,4.0,3.0,2.0,4.0,4.0,3.0,4.0
3,6.0,2.0,3.0,3,3,2.0,1.0,2.0,5,5,5,5,2,,100,1.0,1 3,,1.0,0,1,1.0,2,2.0,4.0,3,1,2,1,3.0,1,1.0,5,3.0,3,5.0,4,7,21.0,1.0,6,3,2 7 8,1.0,1.0,4.0,1.0,23.0,3.0,4,1.0,0,1.0,8.0,0.0,,1,8,0,,,,,,,1 5,5.0,5.0,4 5,1.0,1.0,1.0,10,0.0,1.0,97,,1.0,1.0,10,0.0,1.0,97,,1.0,1.0,10,0.0,1.0,97,,1.0,1.0,10,0.0,1.0,97,,10,1,10,2,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,2.0,1.0,3.0,5.0,2.0,4.0,2.0,2.0,2.0,4.0,3.0,4.0
3,7.0,2.0,3.0,2 3 4,4,0.0,,,5,5,5,5,2 4,2.0,10,1.0,3,,1.0,0,1 2,1.0,2,2.0,4.0,3,1,2,1,3.0,1 3,1.0,1 3 5,3.0,3,5.0,5,0,,1.0,2,4 5 6,11,1.0,1.0,4.0,1.0,23.0,2.0,4,1.0,0,1.0,8.0,0.0,,1,1 3 8,0,,,,,,,4,5.0,4.0,3 4,1.0,1.0,1.0,10,0.0,1.0,97,,1.0,1.0,10 12,0.0,1.0,2,,1.0,1.0,10 12,0.0,1.0,97,,1.0,1.0,10,1.0,2.0,1,,10,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,3.0,3.0,4.0,1.0,4.0,1.0,3.0,2.0,3.0,2.0,4.0
